Wearable-1,Ax,Ay,Az,Gx,Gy,Gz,Sensor time,,Wearable-2,Ax,Ay,Az,Gx,Gy,Gz,Sensor time
192.168.43.70,-0.490234375,0.673828125,0.66796875,1.281738281,6.103515625,-6.34765625,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.021484375,0.981445313,-0.014160156,1.159667969,0.854492188,-0.366210938,1.87E+08
192.168.43.70,-0.489746094,0.674316406,0.668945313,2.136230469,7.385253906,-7.751464844,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.030273438,0.984375,-0.022460938,1.708984375,0.671386719,-0.366210938,1.87E+08
192.168.43.70,-0.494140625,0.671386719,0.676757813,2.502441406,9.094238281,-8.911132813,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.032226563,0.986816406,-0.029785156,1.708984375,0,-0.427246094,1.87E+08
,,,,,,,,,192.168.43.159,-0.022460938,0.983886719,-0.02734375,1.220703125,0.061035156,-0.305175781,1.87E+08
192.168.43.70,-0.505859375,0.670898438,0.671875,2.197265625,10.80322266,-10.37597656,2.05E+08,,,,,,,,,
192.168.43.70,-0.517089844,0.674804688,0.637207031,1.342773438,9.521484375,-11.59667969,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.022460938,0.985839844,-0.023925781,1.281738281,0.793457031,-0.183105469,1.87E+08
192.168.43.70,-0.495117188,0.663574219,0.648925781,1.037597656,7.568359375,-12.57324219,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.024902344,0.983398438,-0.024414063,1.098632813,1.098632813,-0.366210938,1.87E+08
192.168.43.70,-0.514648438,0.641113281,0.672851563,0.793457031,9.094238281,-12.6953125,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.02734375,0.981933594,-0.023925781,0.9765625,0.915527344,-0.48828125,1.87E+08
192.168.43.70,-0.50390625,0.636230469,0.685058594,0.915527344,8.850097656,-13.24462891,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.026855469,0.984863281,-0.026367188,0.9765625,0.793457031,-0.427246094,1.87E+08
192.168.43.70,-0.477539063,0.615234375,0.685546875,2.258300781,11.71875,-16.11328125,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.0234375,0.986328125,-0.025390625,1.098632813,0.9765625,-0.305175781,1.87E+08
192.168.43.70,-0.484375,0.602539063,0.641601563,1.831054688,16.6015625,-12.57324219,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.020507813,0.982421875,-0.025390625,1.342773438,0.427246094,-0.305175781,1.87E+08
192.168.43.70,-0.497558594,0.583007813,0.596679688,1.892089844,16.96777344,-15.44189453,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.021972656,0.983398438,-0.024902344,1.586914063,0.366210938,-0.48828125,1.87E+08
192.168.43.70,-0.470703125,0.547363281,0.578125,0.549316406,20.87402344,-11.90185547,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.022949219,0.982910156,-0.023925781,1.586914063,0.549316406,-0.915527344,1.87E+08
192.168.43.70,-0.483398438,0.561035156,0.590820313,-0.122070313,27.16064453,-17.33398438,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.024902344,0.984375,-0.026367188,1.098632813,0.793457031,-1.159667969,1.87E+08
192.168.43.70,-0.531738281,0.527832031,0.615234375,-8.728027344,33.44726563,-20.93505859,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.025390625,0.980957031,-0.024902344,1.46484375,1.159667969,-1.342773438,1.87E+08
192.168.43.70,-0.645507813,0.414550781,0.568359375,-18.98193359,31.73828125,-14.52636719,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.027832031,0.985351563,-0.028320313,2.014160156,1.647949219,-1.220703125,1.87E+08
192.168.43.70,-0.50390625,0.486328125,0.575195313,-6.774902344,5.004882813,-21.78955078,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.026855469,0.985839844,-0.03125,2.319335938,1.159667969,-1.281738281,1.87E+08
192.168.43.70,-0.460449219,0.447265625,0.597167969,4.211425781,14.52636719,-48.828125,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.025878906,0.986328125,-0.029296875,2.624511719,0.915527344,-1.220703125,1.87E+08
192.168.43.70,-0.531738281,0.458007813,0.63671875,2.868652344,41.62597656,-23.25439453,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.028808594,0.983398438,-0.029785156,2.624511719,0.915527344,-1.342773438,1.87E+08
192.168.43.70,-0.641601563,0.526367188,0.625,20.14160156,55.72509766,-46.02050781,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.023925781,0.98046875,-0.025878906,2.685546875,0.671386719,-1.586914063,1.87E+08
192.168.43.70,-0.578125,0.517089844,0.601074219,23.01025391,70.12939453,-55.23681641,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.020996094,0.984375,-0.021972656,2.990722656,0.366210938,-1.770019531,1.87E+08
192.168.43.70,-0.529296875,0.460449219,0.537109375,13.61083984,106.6894531,-56.39648438,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.026367188,0.979980469,-0.023925781,3.112792969,0.061035156,-2.014160156,1.87E+08
192.168.43.70,-0.756835938,0.403808594,0.371582031,25.14648438,112.6708984,-76.171875,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.026855469,0.982421875,-0.02734375,4.089355469,0.549316406,-2.014160156,1.87E+08
192.168.43.70,-0.71875,0.444335938,0.38671875,35.88867188,70.86181641,-84.65576172,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.025390625,0.982421875,-0.03125,4.699707031,1.281738281,-1.953125,1.87E+08
192.168.43.70,-0.506347656,0.459960938,0.408691406,26.00097656,52.24609375,-102.8442383,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.029785156,0.982421875,-0.036621094,5.126953125,1.46484375,-2.380371094,1.87E+08
192.168.43.70,-0.506347656,0.364257813,0.334960938,10.31494141,71.35009766,-121.7041016,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.028320313,0.982421875,-0.044921875,5.065917969,0.9765625,-2.380371094,1.87E+08
192.168.43.70,-0.511230469,0.298339844,0.317382813,12.08496094,103.0883789,-137.8173828,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.01953125,0.994140625,-0.047851563,4.8828125,1.525878906,-2.502441406,1.87E+08
192.168.43.70,-0.551269531,0.277832031,0.304199219,15.68603516,143.6157227,-151.9165039,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.021972656,0.992675781,-0.037597656,2.746582031,2.502441406,-2.990722656,1.87E+08
192.168.43.70,-0.70703125,0.226074219,0.214355469,13.06152344,175.5371094,-165.0390625,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.038574219,0.968261719,-0.027832031,2.502441406,3.540039063,-3.967285156,1.87E+08
192.168.43.70,-0.796875,0.211914063,0.113769531,5.737304688,170.5932617,-178.1005859,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.04296875,0.983398438,-0.041503906,5.554199219,2.624511719,-4.089355469,1.87E+08
192.168.43.70,-0.951171875,0.239746094,0.05078125,-12.81738281,132.8735352,-200.0732422,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.031738281,0.982421875,-0.044921875,5.432128906,0,-3.356933594,1.87E+08
192.168.43.70,-0.955566406,0.2109375,-9.77E-04,-39.12353516,55.96923828,-226.0131836,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.021484375,0.984375,-0.049804688,5.859375,-0.366210938,-3.41796875,1.87E+08
192.168.43.70,-0.75,0.206054688,-0.01953125,-61.03515625,-7.995605469,-240.0512695,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.021972656,0.984375,-0.045410156,6.469726563,-0.061035156,-3.90625,1.87E+08
192.168.43.70,-0.697753906,0.187011719,-9.77E-04,-85.57128906,-4.638671875,-249.2675781,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.056640625,0.98828125,-0.057617188,6.408691406,0.671386719,-4.089355469,1.87E+08
192.168.43.70,-0.734375,0.086914063,0.025390625,-110.1074219,41.50390625,-248.7792969,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.063476563,0.981933594,-0.073242188,4.821777344,-2.075195313,-3.662109375,1.87E+08
192.168.43.70,-0.726074219,-0.046875,0.170898438,-110.4736328,46.63085938,-245.6665039,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.030273438,0.983398438,-0.059570313,3.051757813,-2.380371094,-2.685546875,1.87E+08
192.168.43.70,-0.778320313,-0.141601563,0.264160156,-104.9804688,47.91259766,-247.0703125,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.03125,0.983398438,-0.0546875,3.845214844,1.831054688,-3.112792969,1.87E+08
192.168.43.70,-1.108886719,-0.224609375,0.125,-111.2060547,56.21337891,-256.8969727,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.052246094,0.978515625,-0.062011719,3.967285156,4.028320313,-3.41796875,1.87E+08
192.168.43.70,-1.496582031,-0.45703125,0.004882813,-127.6855469,10.07080078,-261.2304688,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.051757813,0.985351563,-0.070800781,3.662109375,4.516601563,-3.356933594,1.87E+08
192.168.43.70,-1.1875,-0.6328125,0.169921875,-109.8022461,-81.48193359,-250.8544922,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.041503906,0.983886719,-0.0625,3.234863281,4.150390625,-3.112792969,1.87E+08
192.168.43.70,-0.76953125,-0.590820313,0.368652344,-90.8203125,-95.45898438,-244.7509766,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.037109375,0.983398438,-0.064941406,2.807617188,4.333496094,-2.990722656,1.87E+08
192.168.43.70,-0.927734375,-0.676269531,0.280761719,-121.2768555,-13.54980469,-228.8208008,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.043457031,0.979003906,-0.057617188,2.44140625,5.126953125,-3.41796875,1.87E+08
192.168.43.70,-1.216308594,-0.982421875,4.88E-04,-145.5688477,28.13720703,-217.4072266,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.062011719,0.982910156,-0.067382813,2.9296875,4.638671875,-3.173828125,1.87E+08
192.168.43.70,-1.120117188,-1.139648438,0.002441406,-120.9716797,-17.02880859,-216.9189453,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.060546875,0.989257813,-0.075195313,2.380371094,3.479003906,-2.807617188,1.87E+08
192.168.43.70,-0.881347656,-1.204589844,0.170898438,-95.88623047,-48.52294922,-216.003418,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.062011719,0.989746094,-0.064453125,0.366210938,0.610351563,-2.197265625,1.87E+08
192.168.43.70,-0.748046875,-1.300292969,0.157714844,-86.05957031,-37.41455078,-205.6274414,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.029296875,0.980957031,-0.063964844,1.220703125,-1.159667969,-2.014160156,1.87E+08
192.168.43.70,-0.739746094,-1.417480469,0.192382813,-74.64599609,-25.45166016,-200.2563477,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.057617188,0.991699219,-0.087402344,2.014160156,1.098632813,-2.075195313,1.87E+08
192.168.43.70,-0.729492188,-1.519042969,0.221191406,-55.72509766,-23.25439453,-191.8334961,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.055175781,0.982910156,-0.064453125,0.793457031,-0.854492188,-1.586914063,1.87E+08
192.168.43.70,-0.6015625,-1.576171875,0.225097656,-25.390625,-31.49414063,-182.9223633,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.070800781,0.978027344,-0.071777344,0.610351563,-0.122070313,-1.525878906,1.87E+08
192.168.43.70,-0.378417969,-1.583496094,0.313964844,7.019042969,-30.2734375,-165.9545898,2.06E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.062988281,0.983398438,-0.08203125,0.244140625,-0.366210938,-1.220703125,1.87E+08
192.168.43.70,-0.472167969,-1.777832031,0.512207031,16.90673828,-12.02392578,-140.8691406,2.06E+08,,,,,,,,,
